handle,name,developer,description,rating,reviews,category,has_free_plan,min_price,max_price,url
stockful-inventory-management,Stockful: Inventory Management,Stockful,"AI inventory assistant: track stock at every location, get demand forecasts, sell-through analytics, 14 report types, and Slack low-stock alerts.",5.0,10.0,orders-and-shipping-inventory-inventory-optimization,True,19.99,79.99,https://apps.shopify.com/stockful-inventory-management
fastgrowth-form,FastGrowth Forms,Fastlane,,4.2,4.0,,True,9.9,9.9,https://apps.shopify.com/fastgrowth-form
recurx-subscriptions,RecurX Subscriptions,BOUMZOUD LLC,"Sell subscriptions on Shopify with subscribe & save, build-a-box, payment recovery, and a self-service customer portal. 14-day free trial.",,,selling-products-payments-subscriptions,True,49.0,149.0,https://apps.shopify.com/recurx-subscriptions
deliverit-1,DeliverIt,BOA Ideas,,,,orders-and-shipping-shipping-solutions-shipping,True,19.99,49.99,https://apps.shopify.com/deliverit-1
address-validation-io,Address Validation iO,Moving Primates GmbH,"Reduce costs and support tickets. Validate addresses and emails during and after checkout. Save money with fewer errors, fewer returns and happier customers.",4.6,9.0,orders-and-shipping-orders-order-editing,True,,,https://apps.shopify.com/address-validation-io
shipit-now,Shipit Now: Shipping connector,Oktagon,Ship your orders instantly. Use your own carrier customer numbers or the ones included. Add as many carriers as need. $19/month plus varying transactional fees,4.5,2.0,orders-and-shipping-shipping-solutions-shipping-rates,True,19.0,19.0,https://apps.shopify.com/shipit-now
mamba,MambaSMS Email &SMS Marketing,Mamba Digital Info Tech Company,edm,5.0,5.0,marketing-and-conversion-marketing-email-marketing,True,1.0,20.0,https://apps.shopify.com/mamba
image-translate-easy,Product Image Translate Easy,New craft Apps,"Show translated product images by language or market. Upload localized media, translate alt text, and use AI image translation on paid plans.",5.0,11.0,store-design-internationalization-currency-and-translation,True,9.0,25.0,https://apps.shopify.com/image-translate-easy
oneclick-add-to-cart-bar,OneClick Sticky Cart,Dolphin Web Solution Pvt Ltd.,"Boost conversions with Onclick Sticky Cart. Enable a mobile-friendly sticky add to cart bar in one click. Customise design, variants, and product info—no coding",,,marketing-and-conversion-checkout-cart-customization,True,,,https://apps.shopify.com/oneclick-add-to-cart-bar
convetrics,Convetrics,McDaniel Creative,"See which channels, campaigns, and ads drive your store's orders. Convetrics turns order-level conversion data into clear, privacy-first reports.",,,store-management-operations-analytics,False,9.99,9.99,https://apps.shopify.com/convetrics
popspin,PopSpin ‑ Spin Wheel Popup,Concat Apps,"Increase email signups and customer engagement with a fully customizable spin wheel. Offer discounts, manage subscribers, and boost conversions effortlessly.",5.0,39.0,store-design-notifications-pop-ups,True,4.99,19.99,https://apps.shopify.com/popspin
backstory-prints,Backstory: Print on Demand,Backstory Prints,,,,,True,,,https://apps.shopify.com/backstory-prints
ledgerai,LedgerAI Ourava,CoreLink,"Calculate true net profit from store sales, refunds, fees, product costs, and approved expense bills with trends and AI-assisted bill review.",,,store-management-finances-accounting,True,29.0,59.0,https://apps.shopify.com/ledgerai
notifico,Notifico‑Realtime Store Alerts,Nexbil Software Solutions,,,,orders-and-shipping-orders-order-tracking,True,,,https://apps.shopify.com/notifico
pricing-by-quantity,Amai Upsell+ Volume Discounts,Amai,"Easily incentivizing customers to buy more on your Shopify store with Tiered Discounts, Free Gifts, Buy X Get Y, and Cross-Sells.",4.1,132.0,marketing-and-conversion-promotions-discounts,True,19.99,49.99,https://apps.shopify.com/pricing-by-quantity
checkout-boost-upsells,Checkout Extensions,Boostora AI,"Shopify checkout upsell, trust badges, surveys, gift offers, payment icons, custom messages & post-purchase offers. One app, 20+ checkout extensions, zero code.",,,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,29.99,99.99,https://apps.shopify.com/checkout-boost-upsells
webhook-guard,Webhook Guard,TechYelp Solutions,"Monitor Shopify webhooks, retry failed deliveries, detect duplicates and invalid signatures, and forward events reliably to multiple endpoints",,,,True,,,https://apps.shopify.com/webhook-guard
zage-virtual-try-on,Zage Virtual Try On,Zage,"ZAGE Virtual Try-On lets shoppers see clothes on themselves before buying—reducing guesswork, increasing confidence, and lowering returns.",,,store-design-images-and-media-3d-ar-vr,True,,,https://apps.shopify.com/zage-virtual-try-on
smart-product-prreview,Dakaas AI Upsell & Cross Sell,Dakaas,"Boost Shopify sales with real-time sales popups, social proof, FOMO alerts and customizable announcement bars to build trust and increase conversions.",5.0,11.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,,,https://apps.shopify.com/smart-product-prreview
returndotai,ReturnDotai: Return & Exchange,Returndotai,"Automate returns & exchanges end-to-end. Self-service portal, smart promotions to boost exchanges, multi-carrier support. Reduce costs by 90% for Shopify stores",5.0,3.0,,True,19.99,249.99,https://apps.shopify.com/returndotai
whapi-whatsapp,Whapi: WhatsApp API Automation,Momo Digitals,"Automate WhatsApp for Shopify using the official API. Recover abandoned checkouts, confirm orders, send notifications with direct Meta billing",4.9,32.0,store-management-operations-workflow-automation,True,18.99,45.0,https://apps.shopify.com/whapi-whatsapp
slon-reviews,Slon Reviews: AI App,Techtic Solutions Inc,"Revolutionize decision-making by streamlining insights of customer reviews in Shopify & Shopify Plus, through the power of AI.",,,marketing-and-conversion-social-trust-product-reviews,True,9.95,9.95,https://apps.shopify.com/slon-reviews
restrict-multi-discount-codes,Restrict Multi Discount Codes,K2 Digital,,,,,True,4.0,4.0,https://apps.shopify.com/restrict-multi-discount-codes
open-payout,Open Payout,Open Payout,"Open Payout connects Shopify to Xero or FreshBooks.  It can also connect Wix, Etsy, WooCommerce, SquareSpace and TiktTok shops.",3.0,3.0,store-management-finances-accounting,True,8.0,281.0,https://apps.shopify.com/open-payout
sales-notifier,Oct: Sales Notifier,OctSpace,,,,,True,4.0,4.0,https://apps.shopify.com/sales-notifier
