handle,name,category,reviews,rating,reviews_gained,rank_now,rank_change,days_observed,elapsed_days,reviews_per_day
rez-back-in-stock-notify-me,"REZ Preorder, Back In Stock",marketing-and-conversion-upsell-and-bundles-pre-orders,1284,5.0,0,1,0,1e-09,0.0,
rapi,Rapi Bundles Volume Discounts,marketing-and-conversion-upsell-and-bundles-product-bundles,1280,5.0,0,28,0,1e-09,0.0,
product-personalizer,Zepto Product Personalizer,selling-products-custom-products-product-variants,1270,4.9,0,22,0,1e-09,0.0,
order-delivery-date-time,Pickup Delivery Date Pickeasy,selling-products-digital-goods-and-services-event-booking,1254,5.0,0,6,0,1e-09,0.0,
tidio-chat,Tidio ‑ Live Chat & AI Chatbot,store-management-support-helpdesk,1240,4.8,0,5,0,1e-09,0.0,
autods,Auto DS: AI Dropshipping & POD,finding-products-sourcing-options-dropshipping,1222,4.5,0,23,0,1e-09,0.0,
appstle-loyalty,Appstle Loyalty Program Reward,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,1221,5.0,0,4,0,1e-09,0.0,
bixgrow-affiliate-marketing,BixGrow Affiliate Marketing,marketing-and-conversion-advertising-affiliate-programs,1219,4.9,0,2,0,1e-09,0.0,
essential-announcement-bar,Essential Announcement Bar,store-design-notifications-banners,1218,5.0,0,16,0,1e-09,0.0,
product-options,SC Product Options,selling-products-custom-products-product-variants,1195,4.6,0,16,0,1e-09,0.0,
bss-banner-pop-up,"TA Banner Slider, Sales Pop up",store-design-notifications-pop-ups,1187,5.0,0,7,0,1e-09,0.0,
essential-pre-order,Essent Preorder Back in Stock,marketing-and-conversion-upsell-and-bundles-pre-orders,1181,5.0,0,6,0,1e-09,0.0,
etsy-marketplace-integration,Etsy Integration ‑ CedCommerce,sales-channels-selling-online-store-data-importer,1181,4.6,0,10,0,1e-09,0.0,
translate-my-store,Hextom AI Translate & Currency,store-design-internationalization-currency-and-translation,1180,4.7,0,9,0,1e-09,0.0,
growave,Growave: Loyalty & Wishlist,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,1174,4.8,0,4,0,1e-09,0.0,
discounty-bulk-discount-sales,Discounty: Bulk Discount Sales,selling-products-pricing-pricing-optimization,1168,4.9,0,2,0,1e-09,0.0,
shipping-rates,ShipX ‑ Shipping Rates & Rules,orders-and-shipping-shipping-solutions-shipping-rates,1159,5.0,0,6,0,1e-09,0.0,
product-labels-badges-samita,Sami AI Product Labels & Badge,store-design-design-elements-badges-and-icons,1146,5.0,0,5,0,1e-09,0.0,
zendrop,Zendrop: AI Dropshipping & POD,finding-products-sourcing-options-dropshipping,1146,4.5,0,11,0,1e-09,0.0,
faire-buy-wholesale,Faire: Buy Wholesale,finding-products-sourcing-options-wholesale,1143,4.9,0,1,0,1e-09,0.0,
postscript-sms-marketing,Postscript SMS Marketing,marketing-and-conversion-marketing-sms-marketing,1143,4.7,0,11,0,1e-09,0.0,
product-customizer,PC ‑ Custom Product Options,selling-products-custom-products-product-variants,1141,4.7,0,43,0,1e-09,0.0,
product-options-by-hulkapps-1,Hulk Product Options,selling-products-custom-products-product-variants,1139,4.8,0,3,0,1e-09,0.0,
ebay-integration-sync,eBay Integration ‑ DPL,orders-and-shipping-inventory-inventory-sync,1136,4.9,0,3,0,1e-09,0.0,
betterreports,BR ‑ Better Reports,store-management-operations-analytics,1135,5.0,0,14,0,1e-09,0.0,
vify-order-printer,Vify Order Printer PDF Invoice,orders-and-shipping-orders-invoices-and-receipts,1122,4.9,0,80,0,1e-09,0.0,
bucks-currency-converter,BUCKS Currency Converter PRO++,store-design-internationalization-currency-and-translation,1120,4.9,0,1,0,1e-09,0.0,
pendora-digital-download,Digital Downloads PDF Pendora,selling-products-digital-goods-and-services-digital-products,1096,5.0,0,1,0,1e-09,0.0,
cart-upsell,Kaching CartDrawer Cart Upsell,marketing-and-conversion-checkout-cart-customization,1092,5.0,0,2,0,1e-09,0.0,
kiwi-sizing,Kiwi Size Chart & Recommender,selling-products-custom-products-product-variants,1085,4.8,0,1,0,1e-09,0.0,
junip,Junip Product Reviews App & AI,marketing-and-conversion-social-trust-product-reviews,1075,4.8,0,6,0,1e-09,0.0,
reputon-store-reviews,Reputon Customer Reviews App,marketing-and-conversion-social-trust-product-reviews,1070,4.9,0,7,0,1e-09,0.0,
b2b-solution-custom-pricing,BSS B2B Wholesale Pricing,selling-products-pricing-pricing-optimization,1068,4.9,0,3,0,1e-09,0.0,
searchanise,Searchanise Search & Filter,store-design-search-and-navigation-search-and-filters,1067,4.7,0,6,0,1e-09,0.0,
amazon-by-cedcommerce,CedCommerce Amazon Channel,sales-channels-selling-online-marketplaces,1065,4.7,0,2,0,1e-09,0.0,
bundle-builder,Easy Bundles: Bundle Builder,marketing-and-conversion-upsell-and-bundles-product-bundles,1055,4.9,0,5,0,1e-09,0.0,
doubly-currency-converter,Beast Currency Converter,store-design-internationalization-currency-and-translation,1053,4.6,0,18,0,1e-09,0.0,
frequently-bought-together,Frequently Bought Together CBB,marketing-and-conversion-upsell-and-bundles-product-bundles,1027,4.9,0,29,0,1e-09,0.0,
essential-icon-badge-banners,Essential Trust Badges & Icons,store-design-notifications-banners,1020,5.0,0,3,0,1e-09,0.0,
bulk-product-edit,Hextom: Bulk Product Edit,store-management-operations-bulk-editor,1018,4.9,0,9,0,1e-09,0.0,
automizely-loyalty,AfterShip Referral & Affiliate,marketing-and-conversion-advertising-affiliate-programs,1005,4.9,0,22,0,1e-09,0.0,
affiliatery,Affiliate Marketing ReferrLy,marketing-and-conversion-advertising-affiliate-programs,1000,5.0,0,3,0,1e-09,0.0,
gifter-cart-auto-include,EG Auto Add to Cart Free Gift,marketing-and-conversion-promotions-discounts,997,5.0,0,5,0,1e-09,0.0,
announcement-bar-maker-by-apphero,"Attrac Popup, Announcement Bar",store-design-notifications-pop-ups,995,5.0,0,1,0,1e-09,0.0,
recent-sales-popup-notifications-1,SP Sales Pop up Social Proof,store-design-notifications-pop-ups,986,4.9,0,20,0,1e-09,0.0,
preorder-now,PreOrder Now Backorder WOD,marketing-and-conversion-upsell-and-bundles-pre-orders,980,4.5,0,19,0,1e-09,0.0,
one,"ONE: AI, Pop Up, SMS Marketing",marketing-and-conversion-marketing-sms-marketing,976,4.9,0,35,0,1e-09,0.0,
kite-free-gift,"Kite Discount, Free Gift, BOGO",marketing-and-conversion-promotions-discounts,969,4.9,0,4,0,1e-09,0.0,
appstle-bundles,Appstle℠ Bundles App & Upsells,selling-products-pricing-pricing-optimization,966,5.0,0,1,0,1e-09,0.0,
multiple-google-shopping-feeds,Multifeed Google Shopping Feed,sales-channels-selling-online-product-feeds,964,4.9,0,2,0,1e-09,0.0,
gelato-print-on-demand,Gelato: Print on Demand,finding-products-sourcing-options-dropshipping,959,4.8,0,13,0,1e-09,0.0,
live-chat-and-cloud-api,"Pushdaddy Many Chat ,Cloud API",marketing-and-conversion-marketing-abandoned-cart,958,4.3,0,83,0,1e-09,0.0,
auto-currency-switcher,MLV Auto Currency Switcher,store-design-internationalization-currency-and-translation,938,4.8,0,27,0,1e-09,0.0,
digital-downloads,Digital Products,selling-products-digital-goods-and-services-digital-products,937,4.7,0,7,0,1e-09,0.0,
b2b-wholesale-lock-hide-price,"Sami B2B Lock,Password Protect",store-management-security-accounts-and-login,920,4.9,0,1,0,1e-09,0.0,
content-translation,T Lab ‑ AI Language Translate,store-design-internationalization-currency-and-translation,920,4.9,0,2,0,1e-09,0.0,
easy-order-form,EasySell COD Form & Upsells,selling-products-payments-pay-later,919,4.9,0,2,0,1e-09,0.0,
wholesale-sami,Sami B2B Wholesale Pricing,marketing-and-conversion-promotions-discounts,918,4.9,0,10,0,1e-09,0.0,
cash-on-delivery-cod-order-confirmation,COD King‑Part COD & OTP Verify,selling-products-payments-pay-later,914,5.0,0,1,0,1e-09,0.0,
tepo-product-options,Qikify Custom Product Options,selling-products-custom-products-product-variants,897,4.9,0,24,0,1e-09,0.0,
rivyo-product-review,Rivyo ‑ Product Reviews App,marketing-and-conversion-social-trust-product-reviews,892,4.9,0,26,0,1e-09,0.0,
swell,Yotpo: Loyalty Rewards Program,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,891,4.8,0,42,0,1e-09,0.0,
subi-subscriptions-memberships,Subi Subscriptions App,selling-products-payments-subscriptions,889,4.9,0,11,0,1e-09,0.0,
litcommerce,LitCommerce eBay Etsy Amazon +,sales-channels-selling-online-marketplaces,884,4.9,0,5,0,1e-09,0.0,
goaffpro,GOAFFPRO ‑ Affiliate Marketing,marketing-and-conversion-advertising-affiliate-programs,882,4.6,0,7,0,1e-09,0.0,
shoppop,SalesPop: Order & Sales Popup,store-design-notifications-pop-ups,882,4.7,0,43,0,1e-09,0.0,
vajro,Superfans ‑ Mobile App Builder,store-design-storefronts-mobile-app-builder,880,4.9,0,11,0,1e-09,0.0,
etsy-integration-sync,Etsy Integration ‑ DPL,sales-channels-selling-online-marketplaces,879,4.9,0,10,0,1e-09,0.0,
facebook-multi-pixels,Omega Facebook Pixel Meta Feed,marketing-and-conversion-advertising-ads,876,4.8,0,3,0,1e-09,0.0,
appointo-appointments-and-bookings,Appointment Booking App ointo,selling-products-digital-goods-and-services-event-booking,874,4.9,0,8,0,1e-09,0.0,
ecc-quickbooks-integration-for-shopify,Webgility ‑ QuickBooks Online,store-management-finances-accounting,869,4.9,0,28,0,1e-09,0.0,
aftersell,Aftersell Post Purchase Upsell,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,866,4.8,0,8,0,1e-09,0.0,
ebay-integration,CedCommerce eBay Integration,sales-channels-selling-online-marketplaces,865,4.8,0,41,0,1e-09,0.0,
packlink-pro,Packlink PRO Shipping Platform,orders-and-shipping-shipping-solutions-delivery-and-pickup,862,4.8,0,4,0,1e-09,0.0,
digital-download-products,BIG Digital Downloads File PDF,selling-products-digital-goods-and-services-digital-products,859,5.0,0,8,0,1e-09,0.0,
omnise,Omnise ✧ AI Page Builder,store-design-storefronts-page-builder,852,4.9,0,7,0,1e-09,0.0,
smart-seo,Sherpas: Smart SEO,store-design-images-and-media-image-editor,847,4.9,0,2,0,1e-09,0.0,
essential-estimated-delivery,Essent Estimated Delivery Date,orders-and-shipping-shipping-solutions-shipping-rates,846,5.0,0,2,0,1e-09,0.0,
avada-cookie-bar,Avada GDPR Cookies Consent,store-design-internationalization-cookie-consent,845,5.0,0,4,0,1e-09,0.0,
essential-order-value-booster,Essent FreeShipping Upsell App,marketing-and-conversion-checkout-cart-customization,844,5.0,0,7,0,1e-09,0.0,
upcart-cart-builder,Upcart—Cart Drawer Cart Upsell,marketing-and-conversion-checkout-cart-customization,839,4.7,0,28,0,1e-09,0.0,
back-in-stock,Amp Back in Stock | Preorder,marketing-and-conversion-upsell-and-bundles-pre-orders,820,4.9,0,9,0,1e-09,0.0,
appstle-memberships,Appstle℠ Memberships,selling-products-payments-subscriptions,819,5.0,0,4,0,1e-09,0.0,
eu-cookie-bar,Nova: GDPR Cookie Consent,store-design-notifications-banners,819,4.7,0,49,0,1e-09,0.0,
avada-size-chart,MP Size Chart & Size Guide,selling-products-custom-products-product-variants,816,5.0,0,3,0,1e-09,0.0,
stock-sync,syncX Stock Sync Inventory CSV,sales-channels-selling-online-store-data-importer,804,4.8,0,4,0,1e-09,0.0,
lucky-orange,Lucky Orange Heatmaps & Replay,store-management-operations-analytics,802,4.7,0,70,0,1e-09,0.0,
trueprofit,TP: True Profit Analytics,store-management-operations-analytics,801,5.0,0,6,0,1e-09,0.0,
kaching-subscriptions,Kaching Subscriptions App,selling-products-payments-subscriptions,800,5.0,0,2,0,1e-09,0.0,
webrex-seo-schema,"Webrex: Schema, AEO, AI SEO",store-design-site-optimization-seo,798,4.9,0,14,0,1e-09,0.0,
super-trust-badges,Hoppy Trust Badges & Icons,store-design-notifications-banners,797,4.9,0,2,0,1e-09,0.0,
avada-upsell,AOV Free Gift BOGO Buy X Get Y,marketing-and-conversion-promotions-discounts,787,5.0,0,13,0,1e-09,0.0,
weglot,Weglot: AI Translation & SEO,store-design-internationalization-currency-and-translation,784,4.5,0,34,0,1e-09,0.0,
ez-label,EZLabel: Australia Post Ship,orders-and-shipping-shipping-solutions-shipping,782,5.0,0,4,0,1e-09,0.0,
bulk-product-editor,Ablestar Bulk Product Editor,store-management-operations-bulk-editor,779,4.9,0,4,0,1e-09,0.0,
loloyal,CWILL: Loyalty Program Rewards,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,779,4.9,0,23,0,1e-09,0.0,
optis-color-swatch-variants,OP Color Swatch Variant Images,selling-products-custom-products-product-variants,775,5.0,0,13,0,1e-09,0.0,
dondy-marketing-ai,Dondy: WhatsApp Marketing+Chat,store-management-support-chat,765,4.8,0,1,0,1e-09,0.0,
aov-cart-drawer,AOV.ai Cart Drawer Cart Upsell,marketing-and-conversion-checkout-cart-customization,764,5.0,0,10,0,1e-09,0.0,
bloy-loyalty,BLOY Loyalty Points & Rewards,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,761,5.0,0,18,0,1e-09,0.0,
